Date,Open,High,Low,Close,Adj Close,Volume
2019-02-18,46.89,47.70,46.44,46.56,39.74,62535140
2019-02-19,46.54,48.06,46.54,47.10,40.20,82245450
2019-02-20,47.25,49.38,47.25,49.12,41.93,154872510
2019-02-21,49.26,50.29,49.04,49.88,42.59,117827140
2019-02-22,49.70,50.40,49.21,50.23,42.88,100057230
2019-02-25,50.40,50.95,49.83,50.51,43.12,103576040
2019-02-26,49.80,50.86,49.17,50.36,42.99,98562990
2019-02-27,50.70,51.23,49.79,50.71,43.29,94443460
2019-02-28,50.66,51.10,49.83,50.04,42.72,74854180
2019-03-01,50.35,50.97,50.20,50.76,43.33,66725690
2019-03-05,50.84,52.29,50.52,52.17,44.54,91180370
2019-03-06,52.29,52.54,51.54,52.08,44.46,63112270
2019-03-07,51.99,52.32,51.36,52.12,44.49,61536310
2019-03-08,51.68,51.86,50.63,50.79,43.35,65048470
2019-03-11,51.00,52.24,50.95,52.06,44.45,59082750
2019-03-12,52.44,53.05,52.10,52.51,44.83,82982750
2019-03-13,52.50,52.50,51.26,51.38,43.86,64091530
2019-03-14,51.40,52.18,51.35,51.76,44.19,44966420
2019-03-15,51.80,52.10,51.24,51.54,44.00,42339380
2019-03-18,51.95,52.67,51.53,52.52,44.84,63176050
2019-03-19,52.78,53.19,52.06,52.75,45.03,63298400
2019-03-20,52.61,52.63,51.11,51.36,43.85,87023070
2019-03-22,51.70,52.40,51.56,51.84,44.25,52334460
2019-03-25,51.28,51.77,50.71,51.51,43.98,50368870
2019-03-26,51.60,52.10,51.42,51.94,44.34,33298250
2019-03-27,52.00,52.30,51.31,51.58,44.03,52391580
2019-03-28,51.44,51.65,50.48,50.63,43.22,89650930
2019-04-01,53.00,54.40,52.81,53.51,45.68,135235540
2019-04-02,53.80,53.80,52.61,53.06,45.30,50868180
2019-04-03,53.69,54.76,53.35,53.54,45.71,114896800
2019-04-04,53.28,53.74,52.65,53.06,45.30,52599170
2019-04-05,53.12,55.10,53.12,54.93,46.89,100377130
2019-04-08,55.32,55.70,54.58,54.90,46.87,106009010
2019-04-09,55.10,55.50,54.03,55.31,47.21,66189360
2019-04-10,55.17,55.94,54.17,54.44,46.47,78891530
2019-04-11,54.10,54.64,53.35,53.57,45.73,60823980
2019-04-12,53.70,54.27,53.22,53.37,45.56,62740160
2019-04-15,53.69,55.50,53.61,55.31,47.22,103903170
2019-04-16,55.36,55.69,54.92,55.33,47.23,63236540
2019-04-18,55.35,55.45,53.67,54.31,46.36,66605220
2019-04-22,54.00,54.58,53.31,53.42,45.60,36976860
2019-04-23,53.49,53.85,52.15,52.33,44.68,51193760
2019-04-24,52.69,52.79,51.27,52.53,44.84,83768350
2019-04-25,52.20,52.93,50.90,51.08,43.60,83594180
2019-04-26,52.08,54.78,51.56,54.53,46.55,381810110
2019-04-30,54.31,56.08,53.57,55.72,47.57,142581610
2019-05-02,55.41,56.17,54.95,55.49,47.38,90100300
2019-05-03,55.40,55.60,54.66,54.78,46.76,58796360
2019-05-06,53.42,54.35,52.74,53.60,45.75,99648390
2019-05-07,54.49,54.49,52.90,53.06,45.30,65414980
2019-05-08,53.13,53.24,52.16,52.26,44.62,64784320
2019-05-09,52.26,52.64,51.63,51.92,44.32,51055970
2019-05-10,52.20,52.58,47.90,48.68,41.56,372409210
2019-05-13,48.01,48.80,46.34,47.23,40.32,159569200
2019-05-14,46.70,47.76,45.63,46.96,40.08,211286060
2019-05-15,47.31,48.10,46.06,46.29,39.52,126650570
2019-05-16,46.40,47.13,45.51,46.92,40.06,112547310
2019-05-17,46.51,47.15,46.10,46.95,40.08,70884860
2019-05-20,47.80,49.47,47.67,48.38,41.30,84575830
2019-05-21,48.49,48.49,46.88,47.26,40.34,63370580
2019-05-22,47.20,48.06,46.74,47.30,40.38,83642240
2019-05-23,47.76,48.65,46.21,46.47,39.67,93403760
2019-05-24,46.50,48.63,45.84,48.42,41.33,108824810
2019-05-27,48.45,51.43,48.36,51.26,43.76,182077050
2019-05-28,51.41,51.86,50.52,50.71,43.29,99606130
2019-05-29,50.57,51.17,49.19,49.33,42.11,85236870
2019-05-30,49.30,49.65,48.60,48.79,41.66,72043630
2019-05-31,49.08,49.47,48.11,48.83,41.69,102769910
2019-06-03,48.90,50.19,48.51,49.76,42.48,85053920
2019-06-04,49.60,50.28,49.19,49.76,42.48,62125660
2019-06-06,49.76,50.26,48.30,48.46,41.37,72227990
2019-06-07,48.30,48.99,47.58,48.21,41.16,68111040
2019-06-10,48.90,49.48,48.31,48.61,41.49,68509170
2019-06-11,48.99,49.42,48.70,49.25,42.04,65345480
2019-06-12,49.28,50.80,49.01,50.58,43.18,127555250
2019-06-13,50.40,50.58,49.65,50.26,42.90,72248570
2019-06-14,49.90,50.85,49.71,50.18,42.84,66058960
2019-06-17,50.01,50.08,47.21,47.31,40.39,119382860
2019-06-18,47.33,47.85,46.37,47.23,40.32,106394540
2019-06-19,48.21,49.84,48.21,49.41,42.18,188375230
2019-06-20,49.41,50.28,48.99,50.10,42.77,78263560
2019-06-21,50.00,50.09,49.45,49.76,42.48,61262460
2019-06-24,49.72,49.98,48.19,48.63,41.51,72620000
2019-06-25,47.40,49.98,47.40,49.80,42.51,136491190
2019-06-26,49.50,51.23,49.03,51.06,43.59,129600840
2019-06-27,51.15,51.65,50.67,51.07,43.60,119467140
2019-06-28,51.15,51.56,49.91,50.44,43.06,87600340
2019-07-01,50.99,51.49,50.31,50.70,43.28,85443750
2019-07-02,50.86,51.09,50.21,50.88,43.44,57240040
2019-07-03,50.79,51.48,50.46,51.03,43.56,69464090
2019-07-04,50.00,50.26,49.38,49.53,43.39,72630590
2019-07-05,49.65,49.85,47.53,47.83,41.90,76163480
2019-07-08,47.50,47.95,46.52,46.81,41.00,80825910
2019-07-09,46.90,47.20,46.26,46.85,41.04,68585800
2019-07-10,46.95,47.44,44.81,45.48,39.84,134813440
2019-07-11,46.13,46.65,45.37,46.20,40.47,99870380
2019-07-12,46.43,47.95,46.03,47.29,41.43,132441180
